,1000,2000,4000,psk
0,0.7945,0.8,0.8082499999999999,2.0
1,0.8448741007194245,0.8514838129496403,0.8532726045883942,2.2222222222222223
2,0.8803921568627451,0.8848323793949304,0.8910122699386502,2.4444444444444446
3,0.9126686656671663,0.9133808095952024,0.9171541057367829,2.6666666666666665
4,0.9300484094052559,0.9298961937716262,0.9353236413984077,2.888888888888889
5,0.9452120822622105,0.9459190231362469,0.9500964010282776,3.111111111111111
6,0.9595023980815349,0.9593731253749251,0.9613152369526096,3.333333333333333
7,0.9683633295838021,0.9665916760404949,0.9700224971878515,3.5555555555555554
8,0.9764814814814815,0.9732795129698253,0.9765947591318158,3.7777777777777777
9,0.9825,0.97875,0.982,4.0
